4,1,1,4,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
5,1,1,5,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
6,1,1,6,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
2,1,1,2,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
1,1,1,1,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
7,1,1,7,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
3,1,1,3,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
8,1,1,8,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
9,1,1,9,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
10,1,1,10,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
11,2,2,1,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
12,2,2,2,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
13,2,2,3,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
14,2,2,4,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
15,2,2,5,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
16,2,2,6,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
17,2,2,7,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
18,2,2,8,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
19,2,2,9,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
20,2,2,10,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
22,3,3,2,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
21,3,3,1,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
23,3,3,3,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
24,3,3,4,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
25,3,3,5,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
26,3,3,6,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
27,3,3,7,XXX,2017-02-08 20:27:32,2017-02-08 20:27:32
