1,0.6666666666666666,SCIENCE,1,1,2017-02-08 20:27:32,2017-02-08 20:27:32
2,0.6666666666666666,SCIENCE,1,1,2017-02-08 20:27:32,2017-02-08 20:27:32
3,0.6666666666666666,SCIENCE,1,1,2017-02-08 20:27:32,2017-02-08 20:27:32
4,2.5,TECHNOLOGY,2,1,2017-02-08 20:27:32,2017-02-08 20:27:32
5,2.5,SCIENCE,2,1,2017-02-08 20:27:32,2017-02-08 20:27:32
6,1,CULTURE,3,1,2017-02-08 20:27:32,2017-02-08 20:27:32
7,1,ENGINEERING,3,1,2017-02-08 20:27:32,2017-02-08 20:27:32
8,2,TECHNOLOGY,4,1,2017-02-08 20:27:32,2017-02-08 20:27:32
9,2,CULTURE,4,1,2017-02-08 20:27:32,2017-02-08 20:27:32
10,3,TECHNOLOGY,5,1,2017-02-08 20:27:32,2017-02-08 20:27:32
11,0.3333333333333333,CULTURE,6,1,2017-02-08 20:27:32,2017-02-08 20:27:32
12,0.3333333333333333,TECHNOLOGY,6,1,2017-02-08 20:27:32,2017-02-08 20:27:32
13,0.3333333333333333,TECHNOLOGY,6,1,2017-02-08 20:27:32,2017-02-08 20:27:32
14,1,CULTURE,7,1,2017-02-08 20:27:32,2017-02-08 20:27:32
16,0.6666666666666666,ENGINEERING,8,1,2017-02-08 20:27:32,2017-02-08 20:27:32
15,0.6666666666666666,TECHNOLOGY,8,1,2017-02-08 20:27:32,2017-02-08 20:27:32
17,0.6666666666666666,TECHNOLOGY,8,1,2017-02-08 20:27:32,2017-02-08 20:27:32
18,2.5,SCIENCE,9,1,2017-02-08 20:27:32,2017-02-08 20:27:32
19,2.5,TECHNOLOGY,9,1,2017-02-08 20:27:32,2017-02-08 20:27:32
20,3,TECHNOLOGY,10,1,2017-02-08 20:27:32,2017-02-08 20:27:32
21,4,TECHNOLOGY,11,1,2017-02-08 20:27:32,2017-02-08 20:27:32
22,2,TECHNOLOGY,12,1,2017-02-08 20:27:32,2017-02-08 20:27:32
23,2,TECHNOLOGY,12,1,2017-02-08 20:27:32,2017-02-08 20:27:32
24,1,CULTURE,13,1,2017-02-08 20:27:32,2017-02-08 20:27:32
25,1,CULTURE,13,1,2017-02-08 20:27:32,2017-02-08 20:27:32
26,4,CULTURE,14,1,2017-02-08 20:27:32,2017-02-08 20:27:32
27,1.5,ENGINEERING,15,1,2017-02-08 20:27:32,2017-02-08 20:27:32
28,1.5,TECHNOLOGY,15,1,2017-02-08 20:27:32,2017-02-08 20:27:32
