1,2.5,SCIENCE,1,1,2017-02-08 20:27:32,2017-02-08 20:27:32
2,2,CULTURE,1,1,2017-02-08 20:27:32,2017-02-08 20:27:32
3,0.5,ENGINEERING,1,1,2017-02-08 20:27:32,2017-02-08 20:27:32
4,2.5,SCIENCE,2,1,2017-02-08 20:27:32,2017-02-08 20:27:32
5,2.5,TECHNOLOGY,2,1,2017-02-08 20:27:32,2017-02-08 20:27:32
6,1,CULTURE,3,1,2017-02-08 20:27:32,2017-02-08 20:27:32
7,2.5,MUSIC,3,1,2017-02-08 20:27:32,2017-02-08 20:27:32
8,0.5,ENGINEERING,4,1,2017-02-08 20:27:32,2017-02-08 20:27:32
9,2,SCIENCE,4,1,2017-02-08 20:27:32,2017-02-08 20:27:32
10,0.5,CULTURE,5,1,2017-02-08 20:27:32,2017-02-08 20:27:32
11,1.5,ENGINEERING,6,1,2017-02-08 20:27:32,2017-02-08 20:27:32
12,1.5,SCIENCE,6,1,2017-02-08 20:27:32,2017-02-08 20:27:32
13,2,TECHNOLOGY,6,1,2017-02-08 20:27:32,2017-02-08 20:27:32
14,2,ENGINEERING,7,1,2017-02-08 20:27:32,2017-02-08 20:27:32
15,1.5,SCIENCE,8,1,2017-02-08 20:27:32,2017-02-08 20:27:32
16,1,TECHNOLOGY,8,1,2017-02-08 20:27:32,2017-02-08 20:27:32
17,1,ENGINEERING,8,1,2017-02-08 20:27:32,2017-02-08 20:27:32
18,2.5,TECHNOLOGY,9,1,2017-02-08 20:27:32,2017-02-08 20:27:32
19,2.5,ENGINEERING,9,1,2017-02-08 20:27:32,2017-02-08 20:27:32
20,0.5,SCIENCE,10,1,2017-02-08 20:27:32,2017-02-08 20:27:32
21,2,TECHNOLOGY,10,1,2017-02-08 20:27:32,2017-02-08 20:27:32
22,1.5,ENGINEERING,10,1,2017-02-08 20:27:32,2017-02-08 20:27:32
23,1.5,CULTURE,11,1,2017-02-08 20:27:32,2017-02-08 20:27:32
