1,1,SCIENCE
2,1,CULTURE
3,1,ENGINEERING
4,2,SCIENCE
5,2,TECHNOLOGY
6,3,CULTURE
7,3,MUSIC
8,4,ENGINEERING
9,4,SCIENCE
10,5,CULTURE
11,6,ENGINEERING
12,6,SCIENCE
13,6,TECHNOLOGY
14,7,ENGINEERING
15,8,SCIENCE
16,8,TECHNOLOGY
17,8,ENGINEERING
18,9,TECHNOLOGY
19,9,ENGINEERING
20,10,SCIENCE
21,10,TECHNOLOGY
22,10,ENGINEERING
23,11,CULTURE
24,12,CULTURE
25,12,MUSIC
26,13,CULTURE
27,13,MUSIC
28,14,CULTURE
29,15,MUSIC
30,15,CULTURE
31,16,MUSIC
32,16,CULTURE
33,17,SCIENCE
34,17,TECHNOLOGY
35,18,CULTURE
36,18,SCIENCE
37,19,CULTURE
38,20,SCIENCE
39,20,CULTURE
40,21,CULTURE
41,22,CULTURE
42,23,ENGINEERING
43,23,TECHNOLOGY
44,24,MUSIC
45,25,SCIENCE
46,25,TECHNOLOGY
47,25,ENGINEERING
